Opportunity;Name;Link;Criteria;Industrial segment;Stage;Geography;Funding Amount;Deadline;Quick info;CVR at application;CVR at programme start
Soft Funding;MUDP;https://mudp.dk;"DK-based; focus on environmental tech";Cleantech, Sustainability, Chemistry;Growth/scale;DK;DKK 100K–5M;Annual call;Ministry of Environment programme co-funding development, test, and demonstration of environmental technology (pre-projects, ETV, dev/demo, and flagship projects). Typical grants DKK 1–4M with ~50% co-financing. 2025 allocation DKK 135M.;Yes;Yes
Soft Funding;Nordic Innovation;https://nordicinnovation.org;Nordics-based cross-border innovation projects;Tech, Health, Cleantech, Sustainability, Chemistry;PoC;Nordics;€100K–1M;Rolling;Inter-Nordic organisation funding cross-border innovation projects between Nordic countries. Typical grants €100K–1M for collaborative SME/research partnerships.;Yes;Yes
Soft Funding;Novo Nordisk External Research and Open Innovation;https://www.novonordisk.com/;Academic spin-outs and start-ups in obesity, diabetes, cardiovascular disease, etc.;Health, Biotech, Cell Therapy;PoC;DK;DKK 1M–20M (1–3 years);Rolling;Novo Nordisk's external innovation partnerships including option-to-licence deals on research collaborations. Deals may include upfront payments and milestones rather than traditional grant funding. Partnership deals usually require an incorporated entity.;Any;Yes
Soft Funding;Otto Bruuns Fond;https://ottobruunsfond.dk;DK-based research or innovation projects;Tech, Social Impact, Chemistry;PoC;DK;DKK 50K–500K;Annual (varies);Private foundation awarding annual grants for Danish research and innovation projects in technology and social impact. Supports development and early demonstration of new solutions.;Any;Any
Soft Funding;Otto Mønsteds Fond – Den Lyse Ide;https://omfonden.dk/den-lyse-ide/;Students and educators at Danish higher-education institutions with an innovative idea;General, Tech, Innovation;Exploratory innovation;DK;DKK 500K total across winners (typically 2 prizes + bronze sculptures);Annual (opens ~15 April);"Otto Mønsteds Fond prize Den Lyse Ide recognising innovative student/educator ideas that can contribute to Danish trade and industry. Annual call; prize package includes cash (DKK 500K shared among winners) and commissioned bronze sculptures. Broader foundation also funds other trade/industry projects via omfonden.dk.";Any;Any
Soft Funding;Patent og Varemærkestyrelsen;https://dkpto.dk;"DK-based entities; must apply for patent or trademark";General;PoC;DK;Subsidies for patent costs;Rolling;Danish Patent and Trademark Office subsidies reducing patent and trademark application costs for Danish applicants. Apply when filing IP protection.;Yes;Yes
Soft Funding;Spin-outs Denmark;https://spinouts.dk/;Postdocs at all 8 Danish universities;General;PoC;DK;1-year postdoc salary;Annual call;"Applications require department endorsement, written application, and oral pitch. 82 grants awarded. Postdoc salary grant via university; applicants apply as researchers, not as a company.";No;No
Soft Funding;UCPH Proof of Concept Fund (POC MAX);https://lighthouse.ku.dk/en/researchers/funding/proof-of-concept-pool/;"UCPH researchers; larger initiative";Tech, Health, Biotech, Cleantech, Sustainability, General;PoC;DK;Up to DKK 500,000;Rolling, multiple/year;"UCPH proof-of-concept fund for researchers validating commercial potential of university discoveries. Duration 12–18 months; funds must be spent within the project period. Grant to UCPH researchers; no company CVR required.";No;No
Soft Funding;UCPH Proof of Concept Fund (POC-TO-GO);https://lighthouse.ku.dk/en/researchers/funding/proof-of-concept-pool/;"UCPH researchers & PhD students; must have commercial or societal potential";Tech, Health, Biotech, Cleantech, Sustainability, General;PoC;DK;Up to DKK 150,000;Rolling, multiple/year;"Supported activities: prototype development, IP assessment, market validation, feasibility studies. Grant to UCPH researchers/PhD students; no company CVR required.";No;No
Soft Funding;Velliv Foreningen;https://velliv.dk;DK-based health and well-being projects;Health, Social Impact;PoC;DK;DKK 50K–500K;Annual (varies);Annual grants from Velliv for Danish health, well-being, and social-impact projects. Supports piloting and early development of solutions that improve quality of life.;Any;Any
Soft Funding;Villum Foundation and VELUX Group;https://villumfonden.dk/;Sustainable building technology, daylight research, indoor climate, biophilic design;Cleantech, Sustainability, Materials Science;Exploratory innovation;DK;DKK 1M–10M (2–4 years);Rolling;Joint Villum Foundation–VELUX Group programme (separate from Villum's wider grant portfolio). Collaborative research funding for sustainable building technology, daylight, indoor climate, and biophilic design. VELUX contribution qualifies as co-financing for Innobooster or EUDP.;Yes;Yes
Soft Funding;Vissing Fonden;https://www.vissingfonden.dk/;"DK energy/climate startup with CVR; active university affiliation; university endorsement required";Energy, Cleantech, Sustainability;PoC;DK;DKK 200K–300K;4x/year (Feb, May, Aug, Nov);Energy and climate startup grants (typically DKK 200K–300K). CVR and Danish bank account required. Energy applications are routed via partner universities — at UCPH via Lighthouse, which provides the required university endorsement before submission. Other pools (medical research, children/youth) are separate direct application tracks.;Yes;Yes
Student Entrepreneurship;Copenhagen Health Innovation (CHI);https://copenhagenhealthinnovation.dk/;Students + educators matched with Region H clinics/cases;Health;Early venture;DK;No direct funding;Rolling;Partnership platform (since 2016) connecting students and educators from Copenhagen-area universities/UCCs with hospitals and care organisations on real health-innovation cases. Education-driven collaboration and entrepreneurship skills — not a startup grant programme.;Any;Any
Student Entrepreneurship;Fonden for Entreprenørskab;https://ffefonden.dk/;"DK-based students; entrepreneurship education";General;Early venture;DK;"Varies (programmes; Mikrolegat listed separately)";Rolling;"National foundation for entrepreneurship education in schools and higher education; runs programmes, teacher resources, and student entrepreneurship activities across Denmark.";Any;Any
Student Entrepreneurship;ITU Business Development;https://itu.dk;"DK-based ITU students; tech startups";Tech, General;Early venture;DK;Varies;Rolling;IT University of Copenhagen startup programme: co-founder matching, 3-month idea pipeline, and 6-month incubation with mentorship for ITU students.;Any;Any
Soft Funding;NextGen Innovation (Odense Robotics);https://www.odenserobotics.dk/da/projects/nextgen-innovation/;SMEs with robotics/drone projects in partnership with a knowledge institution;Tech, Robotics, Drones;PoC;DK;Up to DKK 350K total (max DKK 200K company + DKK 150K knowledge partner);"Per call (check Odense Robotics; Jun 2025 call closed)";Odense Robotics / Fyn erhvervsfyrtårn development pool for robot and drone innovation. Requires min. one SME + one knowledge institution. Support is 50% of SME labour costs (de minimis) and 100% for the knowledge partner. Focus areas: large-structure production, advanced drones, autonomous near-coast shipping. Confirm current call status before applying.;Yes;Yes
Student Entrepreneurship;NOVI Legatet;https://novi.dk;"DK-based students; innovation/entrepreneurship";General;Early venture;DK;Varies;Annual (varies);Annual student innovation grant at NOVI science park (North Jutland) supporting entrepreneurship projects by students. Helps student teams test and develop early business ideas.;Any;Any
Student Entrepreneurship;Novo Nordisk Foundation Fellowship Program Biomedical Design;https://novonordiskfonden.dk;"DK-based PhD students; biomedical design focus";Health, Biotech;Exploratory innovation;DK;DKK 500K–2M;Annual (varies);"Fellowship for Danish PhD students in biomedical design; funding and structured training to translate research into health solutions.";Any;Any
Student Entrepreneurship;ORB;https://orb.dk;"DK-based students; tech/innovation";Tech, General;Early venture;DK;Varies;Rolling;Student entrepreneurship organisation (Odense/Aarhus region) supporting young founders with events, mentoring, and innovation activities.;Any;Any
Student Entrepreneurship;Start Up Factory;https://ingenioer.au.dk/uddannelser/startup-factory-au-engineering/;"AU Engineering students; early-stage ventures";Tech, Engineering;Early venture;DK;"Programme support (varies; education programme)";Rolling;Aarhus University Engineering Startup Factory — student entrepreneurship programme helping engineering students launch early-stage ventures.;Any;Any
Student Entrepreneurship;Startup Station;https://startupstation.dk;"DK-based students; tech/innovation";Tech, General;Early venture;DK;Varies;Rolling;Student innovation hub providing workspace, workshops, and mentoring for tech-oriented student founders in Denmark.;Any;Any
Student Entrepreneurship;Station;https://station.dk;"DK-based students; tech/design";Tech, Design;Early venture;DK;Varies;Rolling;Copenhagen student innovation hub (tech/design) with co-working, programmes, and community for young founders.;Any;Any
Student Entrepreneurship;Synapse;https://synapse.dk;"DK-based students; health/biotech innovation";Health, Biotech;Early venture;DK;Varies;Rolling;Student health/biotech innovation community connecting Danish students with life science entrepreneurship programmes and mentors.;Any;Any
Student Entrepreneurship;UCN Next Step;https://ucn.dk;"DK-based students; entrepreneurship focus";General;Early venture;DK;Varies;Rolling;University College Nordjylland entrepreneurship programme for students developing business ideas and early ventures.;Any;Any
